Av_target,Is,RE,RC,Av_Real,Percentual
10,0.0013000000000000002,554.301634663745,23076.923076923074,9.65635875398334,96.5635875398334
10,0.0014000000000000002,493.6930167311414,21428.571428571424,9.641857716555435,96.41857716555435
10,0.0015,441.85442781405,20000.0,9.627707137333985,96.27707137333985
10,0.0016,397.077873541105,18750.0,9.61387377557017,96.1387377557017
10,0.0017000000000000001,358.06646827978,17647.05882352941,9.600329535538776,96.00329535538776
12,2.5e-05,45676.62298832883,1200000.0,11.917129747266841,99.309414560557
12,5e-05,21942.910797421286,600000.0,11.895415595811443,99.1284632984287
12,0.0001,10338.311494164414,300000.0,11.863018618224785,98.85848848520654
12,0.0002,4721.45539871064,150000.0,11.814759082842485,98.45632569035403
12,0.00030000000000000003,2918.615225918372,99999.99999999999,11.775980918092088,98.13317431743407
12,0.0004,2044.15574708221,75000.0,11.742160296231674,97.85133580193062
12,0.0005,1533.263510954335,60000.0,11.711528017489314,97.59606681241095
12,0.0006000000000000001,1200.8276963105734,49999.99999999999,11.683172832134758,97.359773601123
12,0.0007000000000000001,968.6728287960357,42857.14285714285,11.656551874885679,97.13793229071399
12,0.0008,798.22769935532,37500.0,11.631310688695962,96.92758907246635
12,0.0009000000000000001,668.3260536103589,33333.33333333333,11.607202565857122,96.72668804880935
12,0.001,566.414072975335,30000.0,11.584047639022543,96.53373032518786
12,0.0011,484.5900284108525,27272.727272727272,11.5617098613086,96.34758217757167
12,0.0012000000000000001,417.6409462925217,24999.999999999996,11.540083398714174,96.16736165595144
14,2.5e-05,38533.76584547169,1200000.0,13.894036251480202,99.24311608200144
14,5e-05,18371.482225992713,600000.0,13.86470186223221,99.03358473023006
14,0.0001,8552.59720845013,300000.0,13.821070712639028,98.72193366170734
14,0.0002,3828.598255853497,150000.0,13.756170807833357,98.25836291309541
14,0.00030000000000000003,2323.3771306802764,99999.99999999999,13.704069954729547,97.8862139623539
14,0.0004,1597.7271756536386,75000.0,13.658660962581592,97.56186401843995
14,0.0005,1176.120653811478,60000.0,13.617557604020547,97.26826860014677
14,0.0006000000000000001,903.2086486915257,49999.99999999999,13.579531077004603,96.99665055003288
14,0.0007000000000000001,713.5707879797092,42857.14285714285,13.543849298146071,96.74178070104337
14,0.0008,575.0134136410343,37500.0,13.510034249746639,96.50024464104742
14,0.0009000000000000001,469.91335519766045,33333.33333333333,13.4777531984831,96.26966570345071
14,0.001,387.84264440390643,30000.0,13.446763421922014,96.04831015658581
16,2.5e-05,33176.62298832883,1200000.0,15.868299448905177,99.17687155565736
16,5e-05,15692.910797421286,600000.0,15.830218528976303,98.93886580610189
16,0.0001,7213.311494164415,300000.0,15.773718260570035,98.58573912856272
16,0.0002,3158.95539871064,150000.0,15.689788720927922,98.06117950579952
16,0.00030000000000000003,1876.948559251705,99999.99999999999,15.622476509855332,97.64047818659583
16,0.0004,1262.90574708221,75000.0,15.56385341634261,97.27408385214132
16,0.0005,908.263510954335,60000.0,15.510823730608791,96.94264831630494
16,0.0006000000000000001,679.99436297724,49999.99999999999,15.461793371449062,96.63620857155664
16,0.0007000000000000001,522.2442573674642,42857.14285714285,15.415812665834494,96.34882916146559
16,0.0008,407.60269935532,37500.0,15.372261352726113,96.07663345453821
