Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
6,0.5,1.0,3.5,4033.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,69522.30553324892,16.78,100.66527590949201
8,0.5,1.0,3.5,2783.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,52199.72416975646,12.58,100.6733582502413
10,0.5,1.0,3.5,2033.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,41842.79478939945,10.07,100.677618717938
12,0.5,1.0,3.5,1533.263510954335,60000.0,14470.0,4000.0,3982.8571428571427,34953.21367291957,8.39,100.68006473681976
6,0.5,1.0,4.0,4033.263510954335,60000.0,14470.0,4000.0,3485.0,60837.0956768427,16.78,100.66495324213845
8,0.5,1.0,4.0,2783.263510954335,60000.0,14470.0,4000.0,3485.0,45677.99691215447,12.58,100.67291846816512
10,0.5,1.0,4.0,2033.263510954335,60000.0,14470.0,4000.0,3485.0,36614.678241541194,10.07,100.67725672041487
12,0.5,1.0,4.0,1533.263510954335,60000.0,14470.0,4000.0,3485.0,30585.767729944997,8.39,100.67993029922714
6,0.5,1.0,4.500000000000001,4033.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,54082.14302797587,16.78,100.6645667924653
8,0.5,1.0,4.500000000000001,2783.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,40605.64045171204,12.58,100.67311674461301
10,0.5,1.0,4.500000000000001,2033.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,32548.416483276313,10.07,100.67720681297904
12,0.5,1.0,4.500000000000001,1533.263510954335,60000.0,14470.0,4000.0,3097.7777777777774,27188.92387820278,8.39,100.6799670362617
6,0.5,1.0,5.000000000000001,4033.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,48678.10856296274,16.78,100.66431919158705
8,0.5,1.0,5.000000000000001,2783.263510954335,60000.0,14470.0,4000.0,2787.9999999999995,36547.67720578928,12.58,100.67239824117708
